	id	top	position	iterration_update	ecart_position_avec_precedent	acceleration	distraite	endormie	cyclique	regulier
0	0	[166403, 166404, 166405, 166406, 166407, 166408, 166409, 166411, 166412, 166413, 166414, 166415, 166416, 166417, 166418, 166419, 166420, 166421, 166422, 166424, 166425, 166426, 166427, 166428, 166429, 166430, 166431, 166432, 166433, 166434, 166436, 166437, 166438, 166439, 166440, 166441, 166442, 166443, 166444]	[30013197, 30013305, 30013400, 30013422, 30013639, 30013952, 30014091, 30014660, 30014684, 30015013, 30015181, 30015289, 30015384, 30015406, 30015623, 30015936, 30016075, 30016275, 30016644, 30016997, 30017165, 30017273, 30017368, 30017390, 30017607, 30017920, 30018059, 30018259, 30018628, 30018652, 30019149, 30019257, 30019352, 30019374, 30019591, 30019904, 30020043, 30020243, 30020612]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[168.0, 108.0, 95.0, 22.0, 217.0, 313.0, 139.0, 569.0, 24.0, 329.0, 168.0, 108.0, 95.0, 22.0, 217.0, 313.0, 139.0, 200.0, 369.0, 353.0, 168.0, 108.0, 95.0, 22.0, 217.0, 313.0, 139.0, 200.0, 369.0, 24.0, 497.0, 108.0, 95.0, 22.0, 217.0, 313.0, 139.0, 200.0, 369.0]	[-60.0, -13.0, -73.0, 195.0, 96.0, -174.0, 430.0, -545.0, 305.0, -161.0, -60.0, -13.0, -73.0, 195.0, 96.0, -174.0, 61.0, 169.0, -16.0, -185.0, -60.0, -13.0, -73.0, 195.0, 96.0, -174.0, 61.0, 169.0, -345.0, 473.0, -389.0, -13.0, -73.0, 195.0, 96.0, -174.0, 61.0, 169.0]	(True, 22.0, 569.0)	False	False	False
1	1	[166403, 166404, 166405, 166406, 166407, 166408, 166409, 166411, 166412, 166413, 166414, 166415, 166416, 166417, 166418, 166419, 166420, 166421, 166422, 166424, 166425, 166426, 166427, 166428, 166429, 166430, 166431, 166432, 166433, 166434, 166436, 166437, 166438, 166439, 166440, 166441, 166442, 166443, 166444]	[60819627, 60819990, 60820356, 60820721, 60821086, 60821449, 60821813, 60822544, 60822907, 60823276, 60823639, 60824005, 60824370, 60824733, 60825100, 60825466, 60825832, 60826197, 60826560, 60827288, 60827651, 60828013, 60828382, 60828746, 60829112, 60829477, 60829842, 60830208, 60830576, 60830940, 60831670, 60832033, 60832399, 60832765, 60833131, 60833494, 60833858, 60834223, 60834592]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[363.0, 363.0, 366.0, 365.0, 365.0, 363.0, 364.0, 731.0, 363.0, 369.0, 363.0, 366.0, 365.0, 363.0, 367.0, 366.0, 366.0, 365.0, 363.0, 728.0, 363.0, 362.0, 369.0, 364.0, 366.0, 365.0, 365.0, 366.0, 368.0, 364.0, 730.0, 363.0, 366.0, 366.0, 366.0, 363.0, 364.0, 365.0, 369.0]	[0.0, 3.0, -1.0, 0.0, -2.0, 1.0, 367.0, -368.0, 6.0, -6.0, 3.0, -1.0, -2.0, 4.0, -1.0, 0.0, -1.0, -2.0, 365.0, -365.0, -1.0, 7.0, -5.0, 2.0, -1.0, 0.0, 1.0, 2.0, -4.0, 366.0, -367.0, 3.0, 0.0, 0.0, -3.0, 1.0, 1.0, 4.0]	(True, 362.0, 731.0)	False	False	False
2	2	[166403, 166404, 166405, 166406, 166407, 166408, 166409, 166411, 166412, 166413, 166414, 166415, 166416, 166417, 166418, 166419, 166420, 166421, 166422, 166424, 166425, 166426, 166427, 166428, 166429, 166430, 166431, 166432, 166433, 166434, 166436, 166437, 166438, 166439, 166440, 166441, 166442, 166443, 166444]	[33545582, 33545899, 33546003, 33546046, 33546312, 33546514, 33546860, 33547294, 33547600, 33547876, 33548047, 33548227, 33548306, 33548504, 33548832, 33548986, 33549342, 33549576, 33549892, 33550129, 33550385, 33550627, 33550945, 33551220, 33551577, 33551740, 33551924, 33551966, 33552141, 33552144, 33552451, 33552796, 33553078, 33553464, 33553636, 33553949, 33554047, 33554186, 33554211]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[107.0, 317.0, 104.0, 43.0, 266.0, 202.0, 346.0, 434.0, 306.0, 276.0, 171.0, 180.0, 79.0, 198.0, 328.0, 154.0, 356.0, 234.0, 316.0, 237.0, 256.0, 242.0, 318.0, 275.0, 357.0, 163.0, 184.0, 42.0, 175.0, 3.0, 307.0, 345.0, 282.0, 386.0, 172.0, 313.0, 98.0, 139.0, 25.0]	[210.0, -213.0, -61.0, 223.0, -64.0, 144.0, 88.0, -128.0, -30.0, -105.0, 9.0, -101.0, 119.0, 130.0, -174.0, 202.0, -122.0, 82.0, -79.0, 19.0, -14.0, 76.0, -43.0, 82.0, -194.0, 21.0, -142.0, 133.0, -172.0, 304.0, 38.0, -63.0, 104.0, -214.0, 141.0, -215.0, 41.0, -114.0]	(True, 3.0, 434.0)	False	False	False
3	3	[166403, 166404, 166405, 166406, 166407, 166408, 166409, 166411, 166412, 166413, 166414, 166415, 166416, 166417, 166418, 166419, 166420, 166421, 166422, 166424, 166425, 166426, 166427, 166428, 166429, 166430, 166431, 166432, 166433, 166434, 166436, 166437, 166438, 166439, 166440, 166441, 166442, 166443, 166444]	[32160290, 32160521, 32160640, 32160929, 32160973, 32161104, 32161236, 32161790, 32161970, 32162356, 32162527, 32162663, 32162676, 32162884, 32163206, 32163527, 32163833, 32163886, 32164221, 32164641, 32165036, 32165303, 32165579, 32165611, 32165924, 32166081, 32166184, 32166252, 32166363, 32166613, 32167131, 32167249, 32167260, 32167291, 32167444, 32167688, 32167825, 32167911, 32168122]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[287.0, 231.0, 119.0, 289.0, 44.0, 131.0, 132.0, 554.0, 180.0, 386.0, 171.0, 136.0, 13.0, 208.0, 322.0, 321.0, 306.0, 53.0, 335.0, 420.0, 395.0, 267.0, 276.0, 32.0, 313.0, 157.0, 103.0, 68.0, 111.0, 250.0, 518.0, 118.0, 11.0, 31.0, 153.0, 244.0, 137.0, 86.0, 211.0]	[-56.0, -112.0, 170.0, -245.0, 87.0, 1.0, 422.0, -374.0, 206.0, -215.0, -35.0, -123.0, 195.0, 114.0, -1.0, -15.0, -253.0, 282.0, 85.0, -25.0, -128.0, 9.0, -244.0, 281.0, -156.0, -54.0, -35.0, 43.0, 139.0, 268.0, -400.0, -107.0, 20.0, 122.0, 91.0, -107.0, -51.0, 125.0]	(True, 11.0, 554.0)	False	False	False
4	4	[166403, 166404, 166405, 166406, 166407, 166408, 166409, 166411, 166412, 166413, 166414, 166415, 166416, 166417, 166418, 166419, 166420, 166421, 166422, 166424, 166425, 166426, 166427, 166428, 166429, 166430, 166431, 166432, 166433, 166434, 166436, 166437, 166438, 166439, 166440, 166441, 166442, 166443, 166444]	[30981674, 30981857, 30982048, 30982253, 30982417, 30982625, 30982813, 30983222, 30983355, 30983594, 30983854, 30984003, 30984244, 30984425, 30984660, 30984807, 30985011, 30985181, 30985343, 30985705, 30985839, 30986060, 30986218, 30986437, 30986558, 30986784, 30987032, 30987220, 30987366, 30987599, 30987908, 30988021, 30988268, 30988521, 30988733, 30988933, 30989131, 30989281, 30989472]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[184.0, 183.0, 191.0, 205.0, 164.0, 208.0, 188.0, 409.0, 133.0, 239.0, 260.0, 149.0, 241.0, 181.0, 235.0, 147.0, 204.0, 170.0, 162.0, 362.0, 134.0, 221.0, 158.0, 219.0, 121.0, 226.0, 248.0, 188.0, 146.0, 233.0, 309.0, 113.0, 247.0, 253.0, 212.0, 200.0, 198.0, 150.0, 191.0]	[-1.0, 8.0, 14.0, -41.0, 44.0, -20.0, 221.0, -276.0, 106.0, 21.0, -111.0, 92.0, -60.0, 54.0, -88.0, 57.0, -34.0, -8.0, 200.0, -228.0, 87.0, -63.0, 61.0, -98.0, 105.0, 22.0, -60.0, -42.0, 87.0, 76.0, -196.0, 134.0, 6.0, -41.0, -12.0, -2.0, -48.0, 41.0]	(True, 113.0, 409.0)	False	False	False
5	5	[166403, 166404, 166405, 166406, 166407, 166408, 166409, 166411, 166412, 166413, 166414, 166415, 166416, 166417, 166418, 166419, 166420, 166421, 166422, 166424, 166425, 166426, 166427, 166428, 166429, 166430, 166431, 166432, 166433, 166434, 166436, 166437, 166438, 166439, 166440, 166441, 166442, 166443, 166444]	[22298156, 22298160, 22298160, 22298184, 22298232, 22298304, 22298400, 22298664, 22298832, 22299024, 22299240, 22299480, 22299744, 22300012, 22300256, 22300476, 22300672, 22300844, 22300992, 22301216, 22301292, 22301344, 22301372, 22301376, 22301376, 22301400, 22301448, 22301520, 22301616, 22301736, 22302048, 22302240, 22302456, 22302696, 22302960, 22303228, 22303472, 22303692, 22303888]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[28.0, 4.0, 0.0, 24.0, 48.0, 72.0, 96.0, 264.0, 168.0, 192.0, 216.0, 240.0, 264.0, 268.0, 244.0, 220.0, 196.0, 172.0, 148.0, 224.0, 76.0, 52.0, 28.0, 4.0, 0.0, 24.0, 48.0, 72.0, 96.0, 120.0, 312.0, 192.0, 216.0, 240.0, 264.0, 268.0, 244.0, 220.0, 196.0]	[-24.0, -4.0, 24.0, 24.0, 24.0, 24.0, 168.0, -96.0, 24.0, 24.0, 24.0, 24.0, 4.0, -24.0, -24.0, -24.0, -24.0, -24.0, 76.0, -148.0, -24.0, -24.0, -24.0, -4.0, 24.0, 24.0, 24.0, 24.0, 24.0, 192.0, -120.0, 24.0, 24.0, 24.0, 4.0, -24.0, -24.0, -24.0]	False	(True, 28.0)	False	False
6	6	[166403, 166404, 166405, 166406, 166407, 166408, 166409, 166411, 166412, 166413, 166414, 166415, 166416, 166417, 166418, 166419, 166420, 166421, 166422, 166424, 166425, 166426, 166427, 166428, 166429, 166430, 166431, 166432, 166433, 166434, 166436, 166437, 166438, 166439, 166440, 166441, 166442, 166443, 166444]	[57409035, 57409380, 57409725, 57410070, 57410415, 57410760, 57411105, 57411795, 57412140, 57412485, 57412830, 57413175, 57413520, 57413865, 57414210, 57414555, 57414900, 57415245, 57415590, 57416280, 57416625, 57416970, 57417315, 57417660, 57418005, 57418350, 57418695, 57419040, 57419385, 57419730, 57420420, 57420765, 57421110, 57421455, 57421800, 57422145, 57422490, 57422835, 57423180]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 690.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 690.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 690.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 345.0, -345.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 345.0, -345.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 345.0, -345.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	False	False	False	(True, 345.0)
7	7	[166403, 166404, 166405, 166406, 166407, 166408, 166409, 166411, 166412, 166413, 166414, 166415, 166416, 166417, 166418, 166419, 166420, 166421, 166422, 166424, 166425, 166426, 166427, 166428, 166429, 166430, 166431, 166432, 166433, 166434, 166436, 166437, 166438, 166439, 166440, 166441, 166442, 166443, 166444]	[32329879, 32330255, 32330350, 32330671, 32330832, 32331143, 32331253, 32331416, 32331780, 32332147, 32332306, 32332379, 32332630, 32332852, 32333189, 32333376, 32333702, 32333870, 32334107, 32334643, 32334928, 32335134, 32335383, 32335489, 32335497, 32335560, 32335930, 32335960, 32336158, 32336430, 32337041, 32337144, 32337314, 32337340, 32337521, 32337661, 32337813, 32337943, 32338018]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[240.0, 376.0, 95.0, 321.0, 161.0, 311.0, 110.0, 163.0, 364.0, 367.0, 159.0, 73.0, 251.0, 222.0, 337.0, 187.0, 326.0, 168.0, 237.0, 536.0, 285.0, 206.0, 249.0, 106.0, 8.0, 63.0, 370.0, 30.0, 198.0, 272.0, 611.0, 103.0, 170.0, 26.0, 181.0, 140.0, 152.0, 130.0, 75.0]	[136.0, -281.0, 226.0, -160.0, 150.0, -201.0, 53.0, 201.0, 3.0, -208.0, -86.0, 178.0, -29.0, 115.0, -150.0, 139.0, -158.0, 69.0, 299.0, -251.0, -79.0, 43.0, -143.0, -98.0, 55.0, 307.0, -340.0, 168.0, 74.0, 339.0, -508.0, 67.0, -144.0, 155.0, -41.0, 12.0, -22.0, -55.0]	(True, 8.0, 611.0)	False	False	False
8	8	[166403, 166404, 166405, 166406, 166407, 166408, 166409, 166411, 166412, 166413, 166414, 166415, 166416, 166417, 166418, 166419, 166420, 166421, 166422, 166424, 166425, 166426, 166427, 166428, 166429, 166430, 166431, 166432, 166433, 166434, 166436, 166437, 166438, 166439, 166440, 166441, 166442, 166443, 166444]	[17456283, 17456427, 17456519, 17456572, 17456680, 17456715, 17456844, 17457057, 17457178, 17457266, 17457382, 17457487, 17457591, 17457627, 17457780, 17457829, 17458001, 17458152, 17458285, 17458549, 17458605, 17458646, 17458732, 17458825, 17458979, 17459078, 17459201, 17459334, 17459503, 17459562, 17459691, 17459815, 17459988, 17460124, 17460277, 17460314, 17460449, 17460609, 17460687]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[176.0, 144.0, 92.0, 53.0, 108.0, 35.0, 129.0, 213.0, 121.0, 88.0, 116.0, 105.0, 104.0, 36.0, 153.0, 49.0, 172.0, 151.0, 133.0, 264.0, 56.0, 41.0, 86.0, 93.0, 154.0, 99.0, 123.0, 133.0, 169.0, 59.0, 129.0, 124.0, 173.0, 136.0, 153.0, 37.0, 135.0, 160.0, 78.0]	[-32.0, -52.0, -39.0, 55.0, -73.0, 94.0, 84.0, -92.0, -33.0, 28.0, -11.0, -1.0, -68.0, 117.0, -104.0, 123.0, -21.0, -18.0, 131.0, -208.0, -15.0, 45.0, 7.0, 61.0, -55.0, 24.0, 10.0, 36.0, -110.0, 70.0, -5.0, 49.0, -37.0, 17.0, -116.0, 98.0, 25.0, -82.0]	(True, 35.0, 264.0)	False	False	False
9	9	[166403, 166404, 166405, 166406, 166407, 166408, 166409, 166411, 166412, 166413, 166414, 166415, 166416, 166417, 166418, 166419, 166420, 166421, 166422, 166424, 166425, 166426, 166427, 166428, 166429, 166430, 166431, 166432, 166433, 166434, 166436, 166437, 166438, 166439, 166440, 166441, 166442, 166443, 166444]	[29833264, 29833527, 29833705, 29833887, 29834113, 29834346, 29834527, 29834792, 29834892, 29835128, 29835231, 29835441, 29835670, 29835748, 29835940, 29836075, 29836285, 29836370, 29836450, 29836733, 29836860, 29836940, 29837079, 29837180, 29837361, 29837569, 29837666, 29837795, 29838071, 29838339, 29838712, 29838901, 29839010, 29839140, 29839335, 29839570, 29839781, 29839852, 29840122]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[86.0, 263.0, 178.0, 182.0, 226.0, 233.0, 181.0, 265.0, 100.0, 236.0, 103.0, 210.0, 229.0, 78.0, 192.0, 135.0, 210.0, 85.0, 80.0, 283.0, 127.0, 80.0, 139.0, 101.0, 181.0, 208.0, 97.0, 129.0, 276.0, 268.0, 373.0, 189.0, 109.0, 130.0, 195.0, 235.0, 211.0, 71.0, 270.0]	[177.0, -85.0, 4.0, 44.0, 7.0, -52.0, 84.0, -165.0, 136.0, -133.0, 107.0, 19.0, -151.0, 114.0, -57.0, 75.0, -125.0, -5.0, 203.0, -156.0, -47.0, 59.0, -38.0, 80.0, 27.0, -111.0, 32.0, 147.0, -8.0, 105.0, -184.0, -80.0, 21.0, 65.0, 40.0, -24.0, -140.0, 199.0]	(True, 71.0, 373.0)	False	False	False
